"Inspection date";"ID Code";"Status";"Errors";"Warnings";"Duration (s)";"Review (s)";"Smema (s)";"Operator";"Review status";"Review operator";"Squeegee direction";"Batch";"Lot";"Iteration";"Error type";"Variant";
2025-10-25 03:04:56;2002626653;Good;0;0;31.5;0.0;41.5;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:04:11;2002626654;Good;0;0;35.0;0.0;3.5;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:03:32;2002626627;Warn;0;8;31.5;0.0;0.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:01:22;2002626628;NoGood;1;23;31.5;91.6;0.8;install;Pass;install;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 03:00:25;2002626629;Good;0;0;31.5;0.0;19.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:59:26;2002626630;Good;0;0;32.3;0.0;19.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:58:26;2002626631;Good;0;0;28.0;0.0;24.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:57:28;2002626632;Warn;0;7;36.0;0.0;15.1;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:56:31;2002626633;Good;0;0;29.7;0.0;20.6;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:55:34;2002626634;Good;0;0;36.8;0.0;13.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:54:37;2002626635;Good;0;0;33.2;0.0;17.2;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:53:40;2002626636;Warn;0;2;34.1;0.0;16.3;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:52:41;2002626637;Good;0;0;35.1;0.0;16.9;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:49:59;2002626638;Good;0;0;32.4;0.0;122.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:48:59;2002626639;Warn;0;5;35.1;0.0;17.9;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:48:00;2002626640;Good;0;0;36.1;0.0;16.5;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 02:46:12;2002626641;Warn;0;4;28.9;0.0;72.3;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
